text,label
"그 결과 현장 동선을 고려한 재고 위치 재배치와 간소화된 입력 프로세스를 도입할 수 있었고, 재고 오차율을 줄이는 동시에 작업 시간을 단축하는 성과를 냈습니다.",1
"[남들과는 다른, 한 번 더 고민하는]

 공학 설계수업에서 남들은 생각지도 못한 원리의 '투석기'를 만들었습니다.",0
철저한 기획 하에 의도된 연출로 영상을 찍고 편집하는 것이 일반적인 순서였습니다.,0
"Arduino키트와 초음파 센서, 정전용량형 근접센서의 회로를 구성하고 프로그래밍 하는 과정은 문외한인 저희에게 너무 어려운 작업이었습니다.",0
"그 결과 팀원 간 신뢰가 회복되었고, 효율적으로 업무를 추진할 수 있었습니다.",1
"단순히 작품을 소비하는 데서 그치지 않고, 스토리 구조와 캐릭터 설정, 독자 반응까지 함께 분석하며 즐기는 편입니다.",1
"특히 익숙하지 않은 분야에 도전할 때마다 부족함을 느꼈지만, 이를 배움의 기회로 삼아 꾸준히 보완하며 성과로 연결시켜 왔습니다.",1
당시 저희 조원들은 분석 기기를 다뤄본 경험이 없었고 분석화학적 지식이 상대적으로 부족한 터라 걱정이 컸지만 기초부터 다지면서 꾸준히 준비하면 못 할 것이 없다는 생각으로 프로젝트에 임했습니다.,0
새로운 활력을 불어넣고 싶었던 저의 열정으로 중국어 학원 2곳에서 주 1회 총 28개의 주문량을 확보했습니다.,0
이런 다양한 삶을 맞닥뜨려온 경험과 계열을 넘나드는 특징이 앞으로의 시대에 필요한 통합적 인재상에 걸맞은 장점이라고 생각합니다.,0
"[소통의 중요성을 알게 된 해외마케팅활동]
 
대학 시절 GTEP(해외마케팅활동)에 참가하게 되었습니다.",0
"저는 훌륭한 연사분들의 강연을 듣는 것도 좋지만, 같은 곳에서 일하며 비슷한 경험을 하는 직원들의 이야기를 듣는 것도 큰 교육 효과가 있다고 생각합니다.",0
"아이디어의 참신함보다 중요한 것은 사용자의 실제 필요와 실행 구조라는 사실을 깨달았고, 이후 어떤 일을 하든 시작 전에 문제 정의와 검증을 우선하는 습관을 갖게 되었습니다.",1
"단기적으로는 매장 운영 전반을 빠르게 습득하며 기본에 충실한 구성원이 되고, 장기적으로는 데이터와 현장 경험을 바탕으로 매출과 팀 성과를 함께 끌어올리는 리더로 성장하고 싶습니다.",1
